,1,2,3,4,5,6
PCA1,0.16,1.86,2.84,0.78,1.83,1.51
PCA2,0.98,0.93,0.35,0.47,0.81,1.46
PCA3,0.33,1.23,1.99,1.66,0.38,1
PCA4,2.02,1.07,0.21,1.36,0.15,1.66
PCA5,0.27,0.69,0.74,0.18,2.2,0.54
PCA6,0.58,0.43,0.3,0.35,0.45,1.13
PCA7,1.57,0.44,0.57,2.2,1.34,1.21
PCA8,2.97,0.78,,,0.55,0.37
PCA9,0.67,0.29,,,1.62,0.97
PCA10,1.38,1.61,,,0.3,0.49
PCA11,1.03,1.8,,,1.37,0.67
PCA12,0.9,0.54,,,,
PCA13,0.11,1.16,,,,
PCA14,0.53,1.35,,,,
PCA15,0.62,1.11,,,,
PCA16,0.86,1.04,,,,
PCA17,2.74,0.88,,,,
PCA18,0.29,0.81,,,,
