,kernel,gamma,degree,coef0,C,score,weights,score(%)
7,poly,0.025,3,0,1,0.6407407407407407,"0.22,1.05,0.77,1.95,0.49,0.4,0.22,2.81,1.21,0.7,0.66,0.62,2.16,0.6,1.46,1.1,1,0.57",64.07%
10,poly,0.04,2,0,1,0.6407407407407407,"0.93,0.83,0.51,0.68,1.13,0.12,0.95,2.97,0.74,0.59,0.69,0.53,1.7,1.23,1.89,1.02,1,0.48",64.07%
11,poly,0.04,3,0,1,0.6351851851851852,"1.06,1,1.12,0.85,1.14,1.08,1.03,1.08,0.98,0.79,0.82,1.09,1.15,0.89,0.76,1.16,1.12,0.86",63.52%
6,poly,0.025,2,0,1,0.6333333333333332,"0.87,0.27,1.07,1.03,0.75,0.96,0.72,1.71,1.32,0.68,0.77,0.78,0.49,0.79,1.48,1.33,1.91,1.08",63.33%
8,poly,0.04,2,0,0.1,0.6314814814814815,"0.26,0.61,0.82,0.32,1.73,1.29,0.27,1.34,2.07,0.23,1.27,0.6,0.51,2.46,3,0.18,0.65,0.36",63.15%
9,poly,0.04,3,0,0.1,0.6296296296296297,"1.01,0.85,0.99,0.95,1.1,0.74,1.02,1.5,0.95,1.02,1.01,0.93,0.9,0.86,0.87,1.03,0.96,1.34",62.96%
5,poly,0.025,3,0,0.1,0.6296296296296295,"2.67,0.82,0.3,1.45,0.61,0.45,0.66,2.47,1.53,0.42,0.98,0.61,1.57,0.79,0.29,0.52,0.89,0.97",62.96%
2,poly,0.01,3,0,1,0.625925925925926,"1.47,0.46,1.17,1.42,0.81,0.72,2.06,0.36,1.36,0.28,2.14,0.53,0.45,0.92,0.67,0.78,1.66,0.73",62.59%
0,poly,0.01,2,0,0.1,0.6129629629629629,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",61.30%
1,poly,0.01,3,0,0.1,0.6129629629629629,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",61.30%
3,poly,0.01,2,0,1,0.6129629629629629,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",61.30%
4,poly,0.025,2,0,0.1,0.6129629629629629,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",61.30%
