,kernel,gamma,degree,coef0,C,score,weights,score(%)
4,poly,80,3,0,0.1,0.562962962962963,"2.65,1.62,0.15,1.46,0.21,0.34,0.52,3,0.14,0.57,0.35",56.30%
5,poly,80,2,0,0.1,0.5314814814814814,"1.2,0.63,0.52,0.47,0.87,0.34,1.36,1.08,1.28,3.01,0.22",53.15%
7,poly,80,2,0,1,0.5314814814814814,"1.2,0.63,0.52,0.47,0.87,0.34,1.36,1.08,1.28,3.01,0.22",53.15%
6,poly,80,3,0,1,0.5259259259259259,"1.9,0.38,0.72,0.51,1.4,0.99,0.99,1.14,1.42,1.12,0.42",52.59%
9,poly,100,3,0,0.1,0.5259259259259259,"1.71,0.98,1.02,0.53,1.2,0.61,2.31,1.05,0.38,0.8,0.4",52.59%
0,poly,30,3,0,1,0.5185185185185185,"0.27,3,0.32,0.5,1.49,0.14,0.73,0.51,2.29,1.58,0.17",51.85%
1,poly,30,3,0,0.1,0.5185185185185185,"0.47,2.54,0.16,0.15,1.25,0.1,1.65,1.15,2.2,0.37,0.97",51.85%
3,poly,30,2,0,1,0.5037037037037038,"1.13,2.19,0.84,0.9,1.54,0.23,0.24,0.64,1,1.22,1.05",50.37%
11,poly,100,2,0,1,0.4981481481481482,"0.66,0.94,2.5,0.57,1.85,0.99,0.91,0.28,1.18,0.04,1.07",49.81%
10,poly,100,2,0,0.1,0.4981481481481482,"0.66,0.94,2.5,0.57,1.85,0.99,0.91,0.28,1.18,0.04,1.07",49.81%
2,poly,30,2,0,0.1,0.4851851851851851,"1.18,0.96,1.11,1.36,0.92,0.68,1.1,0.91,0.98,1,0.79",48.52%
8,poly,100,3,0,1,0.4814814814814815,"1.24,0.84,0.82,1.03,1.14,0.99,0.93,1.02,1.1,0.9,0.98",48.15%
