,kernel,gamma,degree,coef0,C,score,weights,score(%)
7,poly,0.006,2,0,1,0.7240740740740741,"2.78,1.68,0.47,1.17,0.58,1.25,1.25,0.31,0.47,0.88,1.25,1.05,0.39,0.44,1.23,0.47,2.58,0.98,2.16,1.18,0.82,0.65,0.77,0.52,0.31,1.17,0.54,1.34,0.26,1.82,0.24",72.41%
11,poly,0.01,3,0,1,0.7185185185185186,"1.66,1.66,0.38,0.62,0.82,1.35,0.64,0.36,0.7,0.41,1.2,1.19,1.5,2.34,1.52,0.63,0.3,1.11,1.04,2.59,1.12,0.23,2.45,0.6,0.65,0.69,0.91,0.9,0.51,0.62,0.3",71.85%
8,poly,0.01,2,0,0.1,0.7166666666666668,"2.07,0.65,0.33,0.39,0.87,0.78,0.63,0.35,1.16,0.23,0.18,2.12,1.53,2.24,0.77,2.08,0.14,0.66,2.16,0.17,1.81,0.15,0.65,0.71,1.31,0.56,1.95,3,0.19,0.73,0.44",71.67%
9,poly,0.01,2,0,1,0.7166666666666667,"0.88,0.72,0.68,1.46,1.7,0.93,1.06,0.95,0.95,1.15,1.08,1.07,0.33,0.62,1.78,1.57,0.54,0.85,0.87,0.9,1.18,0.52,1.77,1.61,1.2,0.64,0.98,0.63,0.85,0.86,0.68",71.67%
10,poly,0.01,3,0,0.1,0.7166666666666666,"0.68,1.65,0.62,1.02,1.04,0.96,0.99,0.94,1.11,0.87,0.86,1.66,0.79,0.98,1.25,0.71,0.28,1.47,1.61,1.35,1.35,0.78,0.59,0.8,0.96,0.76,1.03,1.14,0.65,1.01,1.09",71.67%
6,poly,0.006,3,0,1,0.7037037037037036,"0.86,0.15,2.32,0.22,1.38,1.42,0.75,0.34,1.95,0.6,1.69,1.97,0.13,0.66,0.76,1.31,0.32,1.24,0.68,1.45,0.12,1.66,1.28,0.86,1.86,0.41,0.23,0.62,2.32,1.29,0.15",70.37%
4,poly,0.006,2,0,0.1,0.701851851851852,"0.73,1.91,0.22,2.27,0.9,1.37,1.3,0.78,0.54,0.42,0.62,1.9,0.34,0.9,0.74,1.85,0.32,1.28,0.78,0.8,0.32,2.81,0.37,0.19,0.3,1.7,0.38,2.85,0.89,1.02,0.21",70.19%
2,poly,0.001,3,0,1,0.6777777777777778,"1.47,2.61,0.52,1.12,0.55,2.97,0.46,0.15,1.1,0.76,0.95,1.91,0.31,1.62,0.16,1.27,0.56,1.03,0.73,0.69,1.72,0.35,0.67,1.42,0.51,0.88,1.34,0.86,0.39,1.35,0.55",67.78%
5,poly,0.006,3,0,0.1,0.6777777777777778,"0.87,1.14,0.96,1.36,0.96,1.04,0.66,1.01,1.05,0.92,1.18,1.1,1.18,0.78,1.23,0.85,0.95,1.12,0.96,0.87,0.83,0.94,1.16,1.03,0.7,1.44,0.84,1.28,0.82,0.91,0.87",67.78%
3,poly,0.001,2,0,1,0.6703703703703703,"1.07,2.38,0.71,0.75,0.76,0.26,0.96,0.91,1.7,0.24,0.39,1.66,1.61,0.37,0.47,0.5,0.98,1.45,0.95,0.63,1.48,0.93,0.77,0.2,0.92,1.33,1.32,1.51,0.81,2.09,0.85",67.04%
0,poly,0.001,2,0,0.1,0.6129629629629629,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",61.30%
1,poly,0.001,3,0,0.1,0.6129629629629629,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",61.30%
