,kernel,gamma,degree,coef0,C,score,weights,score(%)
0,poly,5,3,0,0.1,0.6537037037037037,"0.81,0.46,0.9,0.63,1.17,0.63,0.77,0.74,1.95,1.56,1.48,1.31,0.41,0.39,1.01,1.96,0.44,1.38",65.37%
8,poly,6,3,0,1,0.6481481481481481,"0.72,0.86,0.63,0.78,0.75,1.29,1.08,0.9,1.22,1.18,0.99,0.95,1.03,0.71,1.35,0.87,1.87,0.8",64.81%
4,poly,5.5,3,0,0.1,0.6370370370370371,"1.02,0.89,1.13,0.77,1.11,2,1,1.07,0.96,0.73,1.09,0.79,0.9,0.51,0.75,1.07,1.29,0.91",63.70%
9,poly,6,3,0,0.1,0.6370370370370371,"1,1.03,1.02,0.98,1.03,1.02,1.02,0.99,0.99,1.02,1.02,0.92,1.08,0.94,0.87,1.02,1.01,1.02",63.70%
6,poly,5.5,3,0,1,0.6370370370370371,"1,1,1,0.99,1.02,1.05,1,1,1.03,1.12,0.99,0.94,1.01,0.92,0.87,1.03,0.87,1.11",63.70%
1,poly,5,3,0,1,0.637037037037037,"0.99,1,1.03,1.05,1.03,1.06,0.99,0.97,1.01,1.13,1.02,0.93,1.02,0.89,0.85,1.04,0.87,1.1",63.70%
5,poly,5.5,2,0,0.1,0.5685185185185185,"0.9,0.9,0.77,0.87,1.11,1.25,1.03,1.09,1.07,0.88,1.06,0.99,1.09,0.81,1.04,0.93,0.6,1.61",56.85%
10,poly,6,2,0,0.1,0.5666666666666667,"1.61,1.08,1.34,0.77,1.08,0.98,1.09,1.17,0.78,0.93,0.92,0.94,0.98,1.28,1.03,0.69,0.8,0.53",56.67%
11,poly,6,2,0,1,0.5592592592592592,"1.61,1.08,1.34,0.77,1.08,0.98,1.09,1.17,0.78,0.93,0.92,0.94,0.98,1.28,1.03,0.69,0.8,0.53",55.93%
3,poly,5,2,0,0.1,0.5592592592592592,"1.15,0.79,1.13,0.97,1.34,0.94,0.87,1.39,0.99,1.1,0.88,0.79,1.18,1.13,0.98,0.71,0.82,0.84",55.93%
2,poly,5,2,0,1,0.5555555555555556,"0.97,0.98,0.99,0.88,0.55,1.77,0.82,0.57,2.19,0.96,0.38,0.67,1.76,1.08,1.12,0.8,0.85,0.65",55.56%
7,poly,5.5,2,0,1,0.5537037037037036,"1.05,0.43,0.98,1.18,1.15,0.89,1.03,1.04,0.57,1.11,0.82,1.51,1.09,1.07,0.93,1.11,1.07,0.98",55.37%
