,kernel,gamma,degree,coef0,C,score,weights,score(%)
7,poly,0.008,3,0,1,0.7203703703703703,"1.03,1,3,0.59,0.55,1.81,0.51,1.26,1.04,0.68,0.43,0.25,0.85",72.04%
5,poly,0.008,2,0,1,0.7148148148148148,"0.96,2.95,0.59,1.31,1.32,0.86,0.79,0.74,0.39,0.65,0.74,1.53,0.17",71.48%
9,poly,0.01,2,0,1,0.7055555555555556,"1.6,0.68,1.18,0.68,0.85,1.14,1.43,0.97,0.94,0.92,0.56,0.75,1.31",70.56%
4,poly,0.008,2,0,0.1,0.6962962962962964,"1.2,1.38,0.36,0.73,0.75,0.56,0.7,0.71,1.06,0.71,0.61,2.97,1.27",69.63%
8,poly,0.01,2,0,0.1,0.6962962962962964,"2.58,0.42,0.55,0.41,1.46,0.69,0.18,1.44,0.45,0.18,2.32,2.05,0.27",69.63%
3,poly,0.003,2,0,1,0.6925925925925925,"0.85,1,0.89,1.7,0.8,0.54,0.58,0.92,0.91,0.93,1.13,1.64,1.12",69.26%
10,poly,0.01,3,0,0.1,0.6907407407407409,"2.61,0.4,0.83,0.9,1.37,0.94,1.37,1.55,0.68,0.74,0.45,0.75,0.39",69.07%
6,poly,0.008,3,0,0.1,0.6888888888888889,"2,0.4,0.92,0.91,0.26,0.98,0.5,1.41,0.66,1.98,0.55,1.57,0.86",68.89%
11,poly,0.01,3,0,1,0.6888888888888889,"0.77,0.78,1.21,1.06,1.18,0.87,1.25,0.77,1.66,0.94,0.85,0.75,0.92",68.89%
2,poly,0.003,3,0,1,0.6759259259259259,"1.01,1,1.03,1.13,1,1.02,0.98,1,0.83,1.04,0.84,1.13,1",67.59%
1,poly,0.003,2,0,0.1,0.6481481481481481,"1.06,0.83,1.36,0.61,0.96,0.61,1.39,0.73,0.98,0.99,0.69,2.18,0.61",64.81%
0,poly,0.003,3,0,0.1,0.6407407407407407,"0.9,0.27,0.93,0.78,1.39,0.47,2.22,0.82,0.73,0.57,0.62,2.7,0.59",64.07%
