,kernel,gamma,degree,coef0,C,score,weights,score(%)
0,poly,5,3,0,0.1,0.625925925925926,"0.76,2.17,0.37,0.49,2.29,0.38,0.54",62.59%
1,poly,5,3,0,1,0.625925925925926,"0.76,2.17,0.37,0.49,2.29,0.38,0.54",62.59%
8,poly,7,3,0,0.1,0.6,"0.79,0.91,1.29,1.07,0.83,0.88,1.23",60.00%
9,poly,7,3,0,1,0.6,"0.79,0.91,1.29,1.07,0.83,0.88,1.23",60.00%
7,poly,6.25,3,0,1,0.5962962962962963,"1,0.96,0.96,1.13,0.98,1.1,0.87",59.63%
6,poly,6.25,3,0,0.1,0.5962962962962963,"1,0.96,0.96,1.13,0.98,1.1,0.87",59.63%
5,poly,6.25,2,0,0.1,0.5555555555555556,"0.98,2.83,0.42,0.69,0.56,1.26,0.25",55.56%
2,poly,5,2,0,1,0.548148148148148,"0.67,0.8,1.54,1.23,0.81,1.28,0.68",54.81%
10,poly,7,2,0,0.1,0.5444444444444445,"2.84,0.33,1.07,1.49,0.7,0.07,0.5",54.44%
4,poly,6.25,2,0,1,0.537037037037037,"1.79,0.57,2.18,1.01,0.32,0.48,0.65",53.70%
3,poly,5,2,0,0.1,0.5333333333333333,"0.29,2.15,1.32,0.63,0.46,0.73,1.43",53.33%
11,poly,7,2,0,1,0.5277777777777778,"0.13,0.23,1.8,0.78,0.84,0.22,3.01",52.78%
