,kernel,gamma,degree,coef0,C,score,weights,score(%)
0,poly,5,3,0,1,0.6185185185185185,"1.29,1.15,0.83,0.81,0.98,0.48,0.67,0.59,1.14,0.85,1.94,1.82,0.47",61.85%
6,poly,5.5,3,0,1,0.6129629629629629,"0.82,1.01,0.6,0.59,2.21,1.12,0.58,1.05,1.16,1.43,0.34,1.26,0.83",61.30%
1,poly,5,3,0,0.1,0.6055555555555556,"1.34,0.84,1.65,1.09,1.06,0.88,0.77,1,0.78,0.8,1.44,0.67,0.67",60.56%
8,poly,6,3,0,0.1,0.6055555555555555,"0.3,0.86,2.12,1.53,1.25,0.64,1.03,1.46,1.13,0.51,1.31,0.46,0.4",60.56%
9,poly,6,3,0,1,0.6055555555555555,"0.3,0.86,2.12,1.53,1.25,0.64,1.03,1.46,1.13,0.51,1.31,0.46,0.4",60.56%
5,poly,5.5,3,0,0.1,0.6,"0.75,1.01,0.83,1.95,2.1,0.38,1.23,0.75,0.76,1.24,0.53,0.87,0.6",60.00%
11,poly,6,2,0,0.1,0.5666666666666667,"1.07,0.76,1.28,1.28,1.02,1.14,1.08,0.89,0.96,0.87,0.8,0.77,1.07",56.67%
7,poly,5.5,2,0,1,0.562962962962963,"0.79,0.43,0.71,2.86,2.1,0.74,1.2,0.78,0.63,0.68,0.92,0.59,0.56",56.30%
10,poly,6,2,0,1,0.5592592592592592,"1.49,0.98,0.56,1.01,1.74,1.59,0.93,0.75,0.75,1.24,0.28,0.63,1.07",55.93%
2,poly,5,2,0,1,0.5555555555555556,"1.14,1.16,0.78,0.93,1.08,0.98,1.11,0.9,0.83,1.35,0.84,0.87,1.02",55.56%
4,poly,5.5,2,0,0.1,0.5555555555555556,"0.68,0.99,0.95,1.27,1,1.17,0.89,1.02,1.45,1.1,1.06,0.77,0.64",55.56%
3,poly,5,2,0,0.1,0.55,"0.29,1.79,1.08,0.5,0.76,0.84,1.46,0.47,1.06,2.3,1.27,0.29,0.9",55.00%
